capa_id,open_date,close_date,days_to_close,product,department,severity,root_cause,regulatory_reference,incident_summary,root_cause_detail,corrective_action,preventive_action,effectiveness_check,effectiveness_rating,recurrence,investigator_name,investigator_role,approver_name,approver_role,ca_completion_date,pa_completion_date,ec_completion_date
CAPA-2023-0193,2023-04-13,2023-08-08,117,Lisinopril 10mg Tablets,QC Laboratory,Medium,Documentation Error,USP <1058>,"Batch D4271A release certificate issued with incorrect product strength — 56mg stated, correct strength is 115mg. Identified by pharmacist on receipt at hospital.",Certificate auto-populated from LIMS but product strength field pulled from wrong database field following a system configuration change 2 weeks prior.,"Batch recalled from hospital. Correct certificates reissued. All certificates issued in 2-week period reviewed — 3 additional certificates found with same error, recalled and corrected.",Certificate field mapping validated after every LIMS configuration change. Certificate content spot-checked by QA against batch record before electronic issuance — strength mandatory check.,Zero certificate content errors for 12 months. 100% post-configuration change certificate validation compliance.,Effective,No,R. Sharma,Engineering Lead,Dr. A. Gupta,Site Director,2023-05-03,2023-06-19,2023-08-04
CAPA-2019-0194,2019-09-12,2020-02-13,154,Amoxicillin 500mg Capsules,Packaging,High,Environmental Control Failure,21 CFR Part 211.130,Non-viable particle count in Grade A zone exceeded alert limit during filling of batch C7249B. 21 particles ≥5.0µm/m³ recorded at fill point 2. Limit: 20 particles/m³.,LAF unit filter integrity compromised — pinhole defect found on HEPA filter during DOP test triggered post-event. Filter had been in service for {days() + 180} days against 12-month maximum.,Filling halted. HEPA filter replaced. DOP test passed on replacement filter. Batch risk-assessed — sterility test initiated. Grade A re-qualified before restart.,HEPA filter replacement scheduled at 10 months (not 12) to provide buffer. DOP test added to quarterly PM rather than annual. Filter age tracked in LIMS with auto-alert 60 days before due.,Zero non-viable particle exceedances in Grade A for 18 months. Quarterly DOP test compliance 100%.,Effective,No,A. Kumar,QC Manager,Dr. A. Gupta,Site Director,2019-10-11,2019-11-29,2020-02-09
CAPA-2023-0195,2023-05-05,2023-08-06,93,Dexamethasone 4mg/mL Injection,Stability,Medium,Equipment Failure,21 CFR Part 211.166,Water purification system FD-523 conductivity exceeded 3.4 µS/cm — WFI specification limit 1.3 µS/cm. Batch B1999B manufacturing in progress at time of exceedance.,Resin bed in deionisation stage exhausted earlier than predicted due to increased daily water demand from new process line.,WFI system taken offline. Resin replaced and system re-validated. Batch quarantined and risk-assessed — manufacturing steps using affected WFI identified.,"WFI conductivity monitored online with automated batch-stop alert. Resin replacement schedule revised based on actual usage, not fixed interval.",WFI conductivity within specification for 12 consecutive months. Zero batches manufactured with out-of-specification WFI.,Effective,No,T. Brown,Regulatory Affairs Lead,Dr. L. Fernandez,QP / Responsible Person,2023-05-19,2023-05-29,2023-07-23
CAPA-2021-0196,2021-08-02,2021-12-02,122,Insulin Injection 100IU/mL,Packaging,Low,Equipment Failure,EU GMP Chapter 5,Filling pump AC-875 o-ring failure caused variable fill volume on vial filling line 4 during batch B3738A. Fill weights ranged 0.91mL to 1.09mL against target 1.00mL ± 2%.,O-ring reached end of service life. PM interval of 6 months was insufficient for this filling speed. O-ring wear not inspected between PM events.,Filling halted. O-ring replaced. 100% gravimetric IPC check repeated across batch. Batch accepted after QA review of all fill weight data.,PM interval reduced from 6 to 3 months for all filling pump o-rings. O-ring inspection added to daily line clearance. Spare o-ring kit maintained at line side.,Zero fill volume OOS events on affected line for 6 months. PM compliance rate 100% on quarterly audit.,Effective,No,S. Mehta,QA Director,Dr. L. Fernandez,QP / Responsible Person,2021-08-30,2021-10-25,2021-11-28
CAPA-2019-0197,2019-02-15,2019-06-27,132,Omeprazole 20mg Capsules,Dispensary,Medium,Process Deviation,21 CFR Part 211.101,Tablet hardness for batch C5525C failed specification — 67.0% of tablets below minimum 8.6 kP during IPC at 75% compression.,"Compression force drifted below validated minimum — tablet press {equip()} main compression roll bearing showing early wear, causing force variation between strokes.",Compression halted. Bearing replaced. Batch 100% checked by automated hardness tester. Sub-specification tablets rejected. Remaining batch released after QA review.,Compression force monitoring added to real-time SCADA display with alert at ±5% from setpoint. Main compression roll bearing added to 6-monthly PM schedule.,Zero hardness OOS events on this press for 12 months. Bearing inspection records reviewed quarterly.,Effective,No,M. Williams,QA Analyst,Dr. S. Mehta,QA Director,2019-02-23,2019-04-05,2019-06-23
CAPA-2022-0198,2022-07-04,2022-11-11,130,Omeprazole 20mg Capsules,Packaging,Medium,Material / Supplier Defect,21 CFR Part 211.130,Microbial contamination in Magnesium Stearate lot LOT-63856 from BioRaw GmbH — total aerobic count 3637 CFU/g against NMT 435 CFU/g specification.,Supplier warehouse roof leak during storm allowed water ingress to storage area — affected bags not identified and segregated before shipment.,Lot rejected. All batches manufactured with this lot tested for bioburden impact. Supplier GMP audit initiated immediately. Alternative supplier lot sourced for ongoing production.,Microbial testing extended to all incoming lots of this excipient (previously tested quarterly). Supplier required to provide batch microbiological testing certificate with every shipment.,Zero microbial OOS events from incoming materials for 12 months. Annual supplier audit confirms adequate warehouse controls.,Effective,No,P. Singh,Production Manager,Dr. A. Gupta,Site Director,2022-07-10,2022-08-09,2022-11-03
CAPA-2020-0199,2020-07-22,2020-11-19,120,Morphine Sulfate 10mg/mL Injection,Stability,Medium,Material / Supplier Defect,21 CFR Part 211.166,API lot LOT-72287 from BioRaw GmbH failed assay — 95.6% against specification of 98.0–102.0%. Three retests confirmed OOS. Certificate of Analysis stated 98.1%.,Supplier analytical method was not equivalent to Ph. Eur. pharmacopoeial method used by the pharmaceutical manufacturer. Supplier method overestimated purity due to unresolved impurity peak.,Lot rejected and returned to supplier. Emergency stock from alternative qualified supplier sourced. Formal investigation requested from supplier within 30 days.,API supplier method comparability study mandated for all new lots — correlation between supplier and in-house methods must be ≥99% before lot acceptance. Annual method comparability audit introduced.,Zero API assay OOS results from supplier method discrepancy for 24 months. Annual method comparability confirmed on supplier audit report.,Effective,No,T. Brown,Regulatory Affairs Lead,Dr. L. Fernandez,QP / Responsible Person,2020-07-31,2020-08-24,2020-11-09
CAPA-2023-0200,2023-10-17,2024-02-11,117,Lisinopril 10mg Tablets,Dispensary,High,Material / Supplier Defect,EU GMP Chapter 5,Foreign particulate contamination found in packaging material lot LOT-45313 — metal fragments found in 23.2% of units during incoming inspection. Fragments identified as stainless steel filings.,Supplier equipment maintenance performed during production run — metal swarf from drilling operation entered open packaging material containers before cleaning completed.,Lot rejected. 100% metal detector inspection of all packaging materials from this supplier in stock. Clear — no other lots affected. Supplier placed on probationary status.,Metal detector check added to all incoming packaging material inspection — no materials accepted without metal detection certificate from supplier. Annual unannounced supplier audit initiated.,Zero particulate contamination events from packaging materials for 24 months. Annual supplier audit report confirms maintenance controls adequate.,Effective,No,M. Williams,QA Analyst,Dr. L. Fernandez,QP / Responsible Person,2023-11-02,2023-12-29,2024-01-31
CAPA-2020-0201,2020-10-18,2021-01-07,81,Dexamethasone 4mg/mL Injection,Stability,Low,Material / Supplier Defect,21 CFR Part 211.166,API lot LOT-50779 from PackRight Ltd failed assay — 94.0% against specification of 98.0–102.0%. Three retests confirmed OOS. Certificate of Analysis stated 98.4%.,Supplier analytical method was not equivalent to Ph. Eur. pharmacopoeial method used by the pharmaceutical manufacturer. Supplier method overestimated purity due to unresolved impurity peak.,Lot rejected and returned to supplier. Emergency stock from alternative qualified supplier sourced. Formal investigation requested from supplier within 30 days.,API supplier method comparability study mandated for all new lots — correlation between supplier and in-house methods must be ≥99% before lot acceptance. Annual method comparability audit introduced.,Zero API assay OOS results from supplier method discrepancy for 24 months. Annual method comparability confirmed on supplier audit report.,Effective,No,A. Kumar,QC Manager,Dr. S. Mehta,QA Director,2020-10-24,2020-11-27,2020-12-30
CAPA-2023-0202,2023-06-26,2023-10-12,108,Atorvastatin 20mg Tablets,Dispensary,Medium,Material / Supplier Defect,EU GMP Chapter 5,Foreign particulate contamination found in packaging material lot LOT-58280 — metal fragments found in 25.6% of units during incoming inspection. Fragments identified as stainless steel filings.,Supplier equipment maintenance performed during production run — metal swarf from drilling operation entered open packaging material containers before cleaning completed.,Lot rejected. 100% metal detector inspection of all packaging materials from this supplier in stock. Clear — no other lots affected. Supplier placed on probationary status.,Metal detector check added to all incoming packaging material inspection — no materials accepted without metal detection certificate from supplier. Annual unannounced supplier audit initiated.,Zero particulate contamination events from packaging materials for 24 months. Annual supplier audit report confirms maintenance controls adequate.,Effective,No,J. Patel,QA Manager,Dr. S. Mehta,QA Director,2023-07-20,2023-08-22,2023-10-02
CAPA-2020-0203,2020-04-26,2020-08-30,126,Amoxicillin 500mg Capsules,Packaging,High,Environmental Control Failure,21 CFR Part 211.130,Ambient temperature in dispensary B rose to 28.3°C for 7.3 hours due to air conditioning failure. Temperature-sensitive materials for batch A5670A dispensed during exceedance.,"AC unit capacitor failed — no alarm configured for dispensary temperature. Exceedance discovered during routine operator check {round(random.uniform(2,5),1)} hours after onset.",Dispensed materials quarantined and tested for conformance against stability data. AC unit repaired. Materials released after QA review of stability data.,Continuous temperature monitoring with alarm to QA office and engineering installed in all dispensary areas. AC unit added to monthly PM schedule. Backup portable AC unit available for emergency deployment.,Dispensary temperature within 15–25°C for 12 months on continuous monitoring. Zero undetected temperature exceedances.,Effective,No,A. Kumar,QC Manager,Dr. S. Mehta,QA Director,2020-05-09,2020-06-24,2020-08-19
CAPA-2019-0204,2019-02-24,2019-06-26,122,Vancomycin 500mg Powder for Infusion,Packaging,High,Equipment Failure,EU GMP Chapter 5,Coating pan GR-235 experienced nozzle blockage during batch B1138A film coating. Spray rate dropped causing uneven coat weight — 11.3% of tablets outside ±7.0% uniformity limit.,Nozzle orifice blocked by dried coating solution due to extended downtime without flushing.,"Coating halted. Nozzle removed, ultrasonically cleaned, and flow rate verified. Batch quarantined and reworked after QA approval. Equipment TBL-533 re-validated before return to service.",Nozzle purge step added to start-up and end-of-run checklist. Nozzle inspection added to weekly PM schedule. Coating solution viscosity specification tightened with incoming test mandatory.,Zero coating OOS events over next 10 batches on this equipment. Nozzle PM compliance ≥ 100% for 3 months.,Effective,No,T. Brown,Regulatory Affairs Lead,Dr. A. Gupta,Site Director,2019-03-01,2019-04-07,2019-06-18
CAPA-2023-0205,2023-10-20,2024-03-07,139,Ciprofloxacin 250mg Tablets,Warehouse,Low,Environmental Control Failure,21 CFR Part 211.142,Viable particle count in Grade B area exceeded action limit — 5 CFU/m³ at sample point 2 during mid of batch A6509B campaign.,Drain in Grade B area identified as microbial reservoir — drain cover cracked allowing backflow during cleaning. Drain had not been inspected for {days()} days.,Drain cover replaced and drain sanitised with sporicidal agent. Enhanced cleaning protocol implemented. Area re-tested — all results within specification before restart.,Drain inspection added to weekly environmental walkthrough checklist. Trend analysis for Grade B EM results implemented — 2 consecutive alerts trigger immediate drain inspection.,Zero Grade B EM action limit exceedances for 12 months. Weekly drain inspection compliance 100%.,Effective,No,P. Singh,Production Manager,Dr. S. Mehta,QA Director,2023-11-18,2023-12-08,2024-03-04
CAPA-2022-0206,2022-07-16,2022-11-06,113,Warfarin 5mg Tablets,QC Laboratory,High,Documentation Error,USP <1058>,Deviation report for batch D6236C closed without verification that all assigned corrective actions were completed. Two actions out of five remained open at time of closure.,QA reviewer closed deviation based on progress report from action owners without independently verifying completion. Closure criteria checklist not mandatory in previous QMS version.,Deviation reopened. Remaining two actions completed and independently verified by QA. Deviation re-closed with full evidence package attached.,QMS updated — deviation cannot be closed unless all linked corrective actions show 'Verified Complete' status in system. Verification requires QA sign-off separate from action owner sign-off.,Zero premature deviation closures for 12 months on monthly QA deviation audit.,Effective,No,P. Singh,Production Manager,Dr. A. Gupta,Site Director,2022-08-02,2022-09-23,2022-10-25
CAPA-2019-0207,2019-11-28,2020-03-21,114,Lisinopril 10mg Tablets,Dispensary,Low,Material / Supplier Defect,EU GMP Chapter 5,Microbial contamination in Sodium Starch Glycolate lot LOT-34892 from BioRaw GmbH — total aerobic count 2321 CFU/g against NMT 451 CFU/g specification.,Supplier warehouse roof leak during storm allowed water ingress to storage area — affected bags not identified and segregated before shipment.,Lot rejected. All batches manufactured with this lot tested for bioburden impact. Supplier GMP audit initiated immediately. Alternative supplier lot sourced for ongoing production.,Microbial testing extended to all incoming lots of this excipient (previously tested quarterly). Supplier required to provide batch microbiological testing certificate with every shipment.,Zero microbial OOS events from incoming materials for 12 months. Annual supplier audit confirms adequate warehouse controls.,Not Effective,Yes,L. Chen,Validation Lead,Dr. L. Fernandez,QP / Responsible Person,2019-12-24,2020-02-02,2020-03-14
CAPA-2021-0208,2021-04-19,2021-08-22,125,Warfarin 5mg Tablets,QC Laboratory,Low,Equipment Failure,USP <1058>,Tablet press FD-881 punch wear resulted in weight variation OOS during compression of batch B6499C. RSD 3.4% against limit 2%. 16% of tablets outside ±5% weight limit.,Punches worn beyond allowable limit. No intermediate wear measurement performed between batches. Wear only detected at batch failure.,Compression halted. Worn punches replaced. Batch 100% weight-sorted; OOS tablets rejected. Replacement punches qualified before restart.,Punch wear gauge check added to start-up procedure and every 2 hours mid-run. Punch replacement triggered at 80% of maximum wear limit.,Zero punch-wear-related OOS events on this press for 12 months. Punch inspection records reviewed on monthly QA audit.,Effective,No,L. Chen,Validation Lead,Dr. A. Gupta,Site Director,2021-05-08,2021-07-06,2021-08-12
CAPA-2020-0209,2020-01-09,2020-04-26,108,Heparin Sodium 5000IU/mL,QC Laboratory,High,Equipment Failure,USP <1058>,HPLC instrument GR-299 column degradation produced OOS results for batch A7253C potency assay. Column pressure exceeded 452 bar during analysis run.,"Column exceeded maximum injection count of 200. Column lifetime tracking not implemented — column replaced only on failure, not proactively.",Column replaced with new qualified column. All batch D1885A results invalidated and repeated using new column. System suitability confirmed before repeat analysis.,Column injection counter log implemented in LIMS. Mandatory replacement at 180 injections (90% of maximum). Column inventory managed with auto-alert at reorder point.,No column-related OOS events for 6 months post-implementation. 100% column injection count compliance on monthly audit.,Not Effective,No,T. Brown,Regulatory Affairs Lead,Dr. S. Mehta,QA Director,2020-02-07,2020-02-17,2020-04-18
CAPA-2022-0210,2022-07-11,2022-10-29,110,Morphine Sulfate 10mg/mL Injection,Stability,Low,Human Error,ICH Q1A(R2),Operator OP-1077 added double quantity of API Batch to batch C4430A during dispensing. Error not detected until IPC check — quantity 19.4% above specification. Batch placed on hold.,Operator did not perform second-check of dispensed quantity before proceeding. Dispensing SOP requires second-operator verification but this step was skipped under time pressure.,Batch rejected — reblending not feasible for this formulation. Operator OP-3595 suspended from dispensing pending retraining on SOP-063. Root cause discussion conducted with team.,Second-operator verification made mandatory at system level — EBR will not allow dispensing step to advance without two distinct operator sign-offs. Supervisory oversight increased during dispensing.,Zero dispensing errors over next 6 months. EBR dual sign-off compliance 100% on monthly audit.,Effective,No,M. Williams,QA Analyst,Dr. L. Fernandez,QP / Responsible Person,2022-07-29,2022-09-02,2022-10-26
CAPA-2019-0211,2019-02-25,2019-07-03,128,Lisinopril 10mg Tablets,Sterile Fill,Medium,Equipment Failure,21 CFR Part 211.113,Autoclave BLD-114 temperature sensor drifted — batch C9700A sterilisation load recorded 118.0°C against required 121°C minimum. Biological indicator result pending.,Thermocouple calibration drift identified. Calibration due date was 3 weeks prior — PM task delayed due to production scheduling conflict.,Load quarantined. Thermocouple replaced and calibrated. Biological indicator result: growth detected — load re-sterilised. Batch risk-assessed by QA.,Autoclave calibration scheduled independently of production — engineering calendar separated from production planning. Calibration overdue = automatic production hold on that autoclave.,100% on-time calibration for autoclave sensors for 12 months. Zero sterilisation failures attributed to sensor drift.,Effective,No,L. Chen,Validation Lead,Dr. A. Gupta,Site Director,2019-03-14,2019-04-20,2019-06-26
CAPA-2022-0212,2022-07-11,2022-10-01,82,Paracetamol 500mg Tablets,Warehouse,Medium,Human Error,21 CFR Part 211.142,Operator OP-5885 added double quantity of Magnesium Stearate to batch D9524C during dispensing. Error not detected until IPC check — quantity 18.1% above specification. Batch placed on hold.,Operator did not perform second-check of dispensed quantity before proceeding. Dispensing SOP requires second-operator verification but this step was skipped under time pressure.,Batch rejected — reblending not feasible for this formulation. Operator OP-8105 suspended from dispensing pending retraining on SOP-114. Root cause discussion conducted with team.,Second-operator verification made mandatory at system level — EBR will not allow dispensing step to advance without two distinct operator sign-offs. Supervisory oversight increased during dispensing.,Zero dispensing errors over next 6 months. EBR dual sign-off compliance 100% on monthly audit.,Not Effective,No,L. Chen,Validation Lead,Dr. S. Mehta,QA Director,2022-07-16,2022-08-04,2022-09-17
CAPA-2018-0213,2018-03-22,2018-07-01,101,Metformin 850mg Tablets,Warehouse,Low,Human Error,21 CFR Part 211.142,Operator OP-9267 added double quantity of Lactose Monohydrate to batch A7006C during dispensing. Error not detected until IPC check — quantity 21.3% above specification. Batch placed on hold.,Operator did not perform second-check of dispensed quantity before proceeding. Dispensing SOP requires second-operator verification but this step was skipped under time pressure.,Batch rejected — reblending not feasible for this formulation. Operator OP-1612 suspended from dispensing pending retraining on SOP-049. Root cause discussion conducted with team.,Second-operator verification made mandatory at system level — EBR will not allow dispensing step to advance without two distinct operator sign-offs. Supervisory oversight increased during dispensing.,Zero dispensing errors over next 6 months. EBR dual sign-off compliance 100% on monthly audit.,Effective,No,J. Patel,QA Manager,Dr. L. Fernandez,QP / Responsible Person,2018-03-28,2018-05-16,2018-06-22
CAPA-2022-0214,2022-09-12,2023-01-23,133,Amoxicillin 500mg Capsules,Warehouse,Medium,Process Deviation,21 CFR Part 211.142,Dissolution failure at 60 minute timepoint for batch C8772C — 53.0% dissolved against NLT 85%. Three consecutive batches failed same timepoint.,Disintegrant particle size from new supplier lot was outside historical range. Smaller particle size reduced disintegrant performance. Incoming test for particle size was not performed on this excipient.,Three batches rejected. Emergency particle size testing of all remaining disintegrant stock. Alternative approved supplier lot sourced. Reformulation study initiated.,Particle size testing added to incoming QC specification for disintegrant. Supplier change notification procedure tightened — any new supplier lot requires comparative dissolution testing before use.,Zero dissolution failures for 12 months. 100% incoming particle size compliance for disintegrant on monthly QC report.,Partially Effective,No,P. Singh,Production Manager,Dr. L. Fernandez,QP / Responsible Person,2022-09-20,2022-10-27,2023-01-11
CAPA-2021-0215,2021-09-16,2021-11-15,60,Metformin 850mg Tablets,Packaging,High,Equipment Failure,EU GMP Chapter 5,HPLC instrument AC-609 column degradation produced OOS results for batch B4272B potency assay. Column pressure exceeded 567 bar during analysis run.,"Column exceeded maximum injection count of 200. Column lifetime tracking not implemented — column replaced only on failure, not proactively.",Column replaced with new qualified column. All batch B6864C results invalidated and repeated using new column. System suitability confirmed before repeat analysis.,Column injection counter log implemented in LIMS. Mandatory replacement at 180 injections (90% of maximum). Column inventory managed with auto-alert at reorder point.,No column-related OOS events for 6 months post-implementation. 100% column injection count compliance on monthly audit.,Effective,No,A. Kumar,QC Manager,Dr. L. Fernandez,QP / Responsible Person,2021-09-28,2021-10-03,2021-11-02
CAPA-2019-0216,2019-02-13,2019-06-02,109,Heparin Sodium 5000IU/mL,Warehouse,Medium,Equipment Failure,21 CFR Part 211.142,HPLC instrument BAL-785 column degradation produced OOS results for batch D3443A potency assay. Column pressure exceeded 561 bar during analysis run.,"Column exceeded maximum injection count of 200. Column lifetime tracking not implemented — column replaced only on failure, not proactively.",Column replaced with new qualified column. All batch A2659B results invalidated and repeated using new column. System suitability confirmed before repeat analysis.,Column injection counter log implemented in LIMS. Mandatory replacement at 180 injections (90% of maximum). Column inventory managed with auto-alert at reorder point.,No column-related OOS events for 6 months post-implementation. 100% column injection count compliance on monthly audit.,Not Effective,Yes,P. Singh,Production Manager,Dr. A. Gupta,Site Director,2019-02-23,2019-04-24,2019-05-26
CAPA-2019-0217,2019-01-16,2019-05-25,129,Lisinopril 10mg Tablets,Warehouse,High,Environmental Control Failure,EU GMP Chapter 3,Non-viable particle count in Grade A zone exceeded alert limit during filling of batch A1751A. 18 particles ≥5.0µm/m³ recorded at fill point 2. Limit: 20 particles/m³.,LAF unit filter integrity compromised — pinhole defect found on HEPA filter during DOP test triggered post-event. Filter had been in service for {days() + 180} days against 12-month maximum.,Filling halted. HEPA filter replaced. DOP test passed on replacement filter. Batch risk-assessed — sterility test initiated. Grade A re-qualified before restart.,HEPA filter replacement scheduled at 10 months (not 12) to provide buffer. DOP test added to quarterly PM rather than annual. Filter age tracked in LIMS with auto-alert 60 days before due.,Zero non-viable particle exceedances in Grade A for 18 months. Quarterly DOP test compliance 100%.,Effective,No,T. Brown,Regulatory Affairs Lead,Dr. L. Fernandez,QP / Responsible Person,2019-02-01,2019-03-30,2019-05-20
CAPA-2022-0218,2022-09-01,2023-01-30,151,Paracetamol 500mg Tablets,Stability,High,Equipment Failure,21 CFR Part 211.166,Balance GR-378 failed calibration check before dispensing for batch D8835B. Drift of 0.36g recorded — tolerance ±0.01g. Previous calibration 5 weeks prior — due date missed.,Calibration due date not tracked in equipment management system. Balance due dates maintained manually in a spreadsheet — entry not updated after last calibration.,Balance taken out of service. All quantities dispensed for batch re-weighed on calibrated balance. No weight discrepancies found — batch released.,All balance calibration due dates entered into LIMS with auto-alert 7 days before due. No dispensing activity permitted on balance with overdue calibration.,100% on-time calibration for all balances for 12 months on monthly compliance report.,Partially Effective,No,J. Patel,QA Manager,Dr. S. Mehta,QA Director,2022-09-24,2022-10-29,2023-01-18
CAPA-2018-0219,2018-02-20,2018-08-10,171,Insulin Injection 100IU/mL,Packaging,Low,Environmental Control Failure,EU GMP Chapter 5,HVAC system failure in Grade B manufacturing suite C — differential pressure dropped to 5 Pa (limit ≥15 Pa) for 6.5 hours during batch A3140B.,HVAC supply fan belt failed — no redundancy available on this system. Production was not notified of HVAC alarm for 45 minutes due to alarm panel location in engineering area.,"Area evacuated. Batch risk-assessed — manufacturing in early stage, low risk. Batch accepted with documented QA justification. HVAC repaired with new belt and alignment check.",Redundant HVAC fan installed in Grade B suite. HVAC alarms mirrored to production area panel and QA office. Response procedure added to area emergency response document.,Zero HVAC differential pressure failures for 12 months. Alarm response time ≤15 minutes on monthly alarm log.,Effective,No,R. Sharma,Engineering Lead,Dr. A. Gupta,Site Director,2018-03-19,2018-05-18,2018-07-30
CAPA-2022-0220,2022-04-26,2022-10-03,160,Warfarin 5mg Tablets,Dispensary,Medium,Material / Supplier Defect,EU GMP Chapter 5,Microbial contamination in Povidone lot LOT-84057 from ChemSource Inc — total aerobic count 3271 CFU/g against NMT 365 CFU/g specification.,Supplier warehouse roof leak during storm allowed water ingress to storage area — affected bags not identified and segregated before shipment.,Lot rejected. All batches manufactured with this lot tested for bioburden impact. Supplier GMP audit initiated immediately. Alternative supplier lot sourced for ongoing production.,Microbial testing extended to all incoming lots of this excipient (previously tested quarterly). Supplier required to provide batch microbiological testing certificate with every shipment.,Zero microbial OOS events from incoming materials for 12 months. Annual supplier audit confirms adequate warehouse controls.,Effective,No,A. Kumar,QC Manager,Dr. A. Gupta,Site Director,2022-05-05,2022-07-02,2022-09-22
CAPA-2021-0221,2021-08-06,2021-11-02,88,Dexamethasone 4mg/mL Injection,QC Laboratory,Low,Documentation Error,USP <1058>,Deviation report for batch A1190C closed without verification that all assigned corrective actions were completed. Two actions out of five remained open at time of closure.,QA reviewer closed deviation based on progress report from action owners without independently verifying completion. Closure criteria checklist not mandatory in previous QMS version.,Deviation reopened. Remaining two actions completed and independently verified by QA. Deviation re-closed with full evidence package attached.,QMS updated — deviation cannot be closed unless all linked corrective actions show 'Verified Complete' status in system. Verification requires QA sign-off separate from action owner sign-off.,Zero premature deviation closures for 12 months on monthly QA deviation audit.,Partially Effective,No,S. Mehta,QA Director,Dr. S. Mehta,QA Director,2021-08-18,2021-09-13,2021-10-30
CAPA-2018-0222,2018-03-14,2018-06-19,97,Vancomycin 500mg Powder for Infusion,Sterile Fill,Medium,Process Deviation,ISO 13408,Tablet hardness for batch D4850A failed specification — 67.0% of tablets below minimum 8.4 kP during IPC at 50% compression.,"Compression force drifted below validated minimum — tablet press {equip()} main compression roll bearing showing early wear, causing force variation between strokes.",Compression halted. Bearing replaced. Batch 100% checked by automated hardness tester. Sub-specification tablets rejected. Remaining batch released after QA review.,Compression force monitoring added to real-time SCADA display with alert at ±5% from setpoint. Main compression roll bearing added to 6-monthly PM schedule.,Zero hardness OOS events on this press for 12 months. Bearing inspection records reviewed quarterly.,Effective,No,T. Brown,Regulatory Affairs Lead,Dr. L. Fernandez,QP / Responsible Person,2018-03-22,2018-04-21,2018-06-16
CAPA-2021-0223,2021-09-21,2022-02-25,157,Lisinopril 10mg Tablets,Warehouse,High,Environmental Control Failure,EU GMP Chapter 3,Temperature excursion in cold room CR-01 — reached 16.3°C for 7.7 hours. Limit 2–8°C. Batch C9328C and 3 other product batches potentially affected.,"Refrigeration compressor failed overnight. Night shift operator did not respond to alarm within required 15 minutes — response was {round(random.uniform(45,120),0)} minutes after initial alarm.",Compressor replaced. All affected batches quarantined and thermal stability assessments initiated per product stability data. Engineering root cause investigation completed.,24/7 alarm escalation: unacknowledged alarm after 10 minutes auto-escalates to on-call engineer via SMS. Backup refrigeration unit installed in critical cold rooms. Alarm response training refreshed for all shifts.,Zero temperature excursions exceeding 30 minutes for 12 months. 100% alarm response within 15 minutes on monthly alarm log review.,Effective,No,J. Patel,QA Manager,Dr. S. Mehta,QA Director,2021-10-13,2021-12-06,2022-02-13
CAPA-2018-0224,2018-07-07,2018-10-13,98,Lisinopril 10mg Tablets,Stability,Low,Process Deviation,21 CFR Part 211.166,In-process pH of batch D2868A measured 4.3 — below validated range lower limit of 5.1 during granulation. Batch held pending investigation.,Purified water used for granulation fluid had transient low pH of 4.8 due to CO2 absorption from environmental exposure after storage tank vent filter change.,Batch rejected. Water system investigated — vent filter replaced and water re-qualified. pH specification for WFI tightened. Batch manufacturing process fully reviewed.,"In-line pH monitoring of WFI at point of use — alert at pH 5.8, process stop at pH 5.5. Vent filter change now triggers WFI re-qualification before manufacturing use.",WFI pH within specification for 12 months on daily monitoring log. Zero pH-related granulation failures.,Effective,No,L. Chen,Validation Lead,Dr. L. Fernandez,QP / Responsible Person,2018-07-17,2018-08-22,2018-09-29
CAPA-2019-0225,2019-03-18,2019-07-01,105,Enoxaparin 40mg/0.4mL Injection,Sterile Fill,Low,Material / Supplier Defect,EU GMP Annex 1,Particle size of Microcrystalline Cellulose lot LOT-43330 from ExciPure Corp outside specification — D90 265.0µm against NMT 200µm. Discovered during incoming QC. Previous lots all compliant.,Supplier milling equipment calibration had drifted — milling screen replaced without re-qualification of particle size output. Change not notified to pharmaceutical customer.,"Lot rejected. Supplier formally notified. All batches manufactured with this lot quarantined — dissolution testing performed. {random.randint(2,4)} batches showed dissolution impact and were rejected.",Supplier quality agreement updated — any equipment change affecting particle size requires 30-day prior notification and sample submission for qualification testing before shipment.,Zero particle size OOS results from this supplier for 24 months. Annual supplier process capability review for critical quality attributes.,Effective,No,A. Kumar,QC Manager,Dr. L. Fernandez,QP / Responsible Person,2019-04-16,2019-05-17,2019-06-18
CAPA-2022-0226,2022-11-08,2023-04-15,158,Omeprazole 20mg Capsules,Warehouse,Low,Documentation Error,21 CFR Part 211.142,Deviation report for batch A8381B closed without verification that all assigned corrective actions were completed. Two actions out of five remained open at time of closure.,QA reviewer closed deviation based on progress report from action owners without independently verifying completion. Closure criteria checklist not mandatory in previous QMS version.,Deviation reopened. Remaining two actions completed and independently verified by QA. Deviation re-closed with full evidence package attached.,QMS updated — deviation cannot be closed unless all linked corrective actions show 'Verified Complete' status in system. Verification requires QA sign-off separate from action owner sign-off.,Zero premature deviation closures for 12 months on monthly QA deviation audit.,Effective,No,T. Brown,Regulatory Affairs Lead,Dr. S. Mehta,QA Director,2022-12-01,2023-01-05,2023-04-04
