incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level,cleaned_incident
INC-2020-0609,Automated dispensing system ChemStation dispensed incorrect quantity of Lactose Monohydrate for batch E6019C. Software calibration fault confirmed. Batch quarantined pending investigation.,Software / System Failure,Root cause investigation and CAPA report,Deploy continuous training programme,High,automated dispensing system chemstation dispensed incorrect quantity of lactose monohydrate for batch e6019c software calibration fault confirmed batch quarantined pending investigation
INC-2020-0610,Temperature excursion in cold storage Room E205 for 2.4 hours. Temperature reached 36.1 degrees C above upper limit. Batch A5353A products affected.,Environmental Control Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Medium,temperatureerature excursion in cold storage room e205 for 2 4 hours temperatureerature reached 36 1 degrees c above upper limit batch a5353a products affected
INC-2020-0611,Chromatography data system LIMS Nexus incorrectly integrated peak area for batch B2970A samples. Manual reintegration required for all affected samples.,Software / System Failure,Product recall and destruction,Upgrade software with validation,Low,chromatography data system lims nexus incorrectly integrated peak area for batch b2970a samples manual reintegration required for all affected samples
INC-2020-0612,Audit trail in QMS software SAP QM failed to record change made to batch D1796A record. 21 CFR Part 11 compliance gap identified during internal audit.,Software / System Failure,Product recall and destruction,Add in-process checks at critical steps,Medium,audit trail in qms software sap qm failed to record change made to batch d1796a record 21 cfr part 11 compliance gap identified during internal audit
INC-2020-0613,Bioburden of 2 CFU per 100mL detected in WFI water used for batch A5565A. Alert limit is 10 CFU per 100mL. Batch quarantined.,Process Deviation,Process parameter adjustment,Add in-process checks at critical steps,Medium,bioburden of 2 cfu per 100ml detected in wfi water used for batch a5565a alert limit is 10 cfu per 100ml batch quarantined
INC-2020-0614,Operator OP-3525 skipped in-process weight check at 50% completion during tablet compression of batch B7194C. Step omitted from batch record.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,High,operator op 3525 skipped in process weight check at 50 completion during tablet compression of batch b7194c step omitted from batch record
INC-2020-0615,Tablet disintegration for batch E3855A exceeded 17.3 minutes at 45 minute timepoint. Specification limit is NMT 20 minutes.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Medium,tablet disintegration for batch e3855a exceeded 17 3 minutes at 45 minute timepoint specification limit is nmt 20 minutes
INC-2020-0616,Fill volume for batch D5294C vials measured outside specification. 12 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low,fill volume for batch d5294c vials measured outside specification 12 vials showed fill volume below lower specification limit on filling line
INC-2020-0617,HVAC system failure in cleanroom Room A101 resulted in differential pressure drop below specification. Grade integrity compromised for 5.5 hours during batch C4458B manufacture.,Environmental Control Failure,Batch quarantine and investigation,Install automated alarm and alert system,Medium,hvac system failure in cleanroom room a101 resulted in differential pressure drop below specification grade integrity compromised for 5 5 hours during batch c4458b manufacture
INC-2020-0618,Double dispensing of Magnesium Stearate occurred for batch D4755C. Operator OP-6986 did not check previous dispensing record. Total weight 6.8% above specification.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low,double dispensing of magnesium stearate occurred for batch d4755c operator op 6986 did not check previous dispensing record total weight 6 8 above specification
INC-2020-0619,Cleanroom Room A101 temperature exceeded upper limit for 6.1 hours during manufacture of batch D4465C. Cooling system fault identified as root cause.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High,cleanroom room a101 temperatureerature exceeded upper limit for 6 1 hours during manufacture of batch d4465c cooling system fault identified as root cause
INC-2020-0620,Centrifuge HP-181 imbalance alarm triggered during processing of batch D9037B. Processing halted at 75% completion. Product integrity requires assessment.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,centrifuge hp 181 imbalance alarm triggered during processing of batch d9037b processing halted at 75 completion product integrity requires assessment
INC-2020-0621,API assay for lot LOT-30780 from PharmChem Ltd measured 96.3% against specification of 95.0% to 107.8%.,Material / Supplier Defect,Root cause investigation and CAPA report,Upgrade software with validation,Medium,api assay for lot lot 30780 from pharmchem ltd measured 96 3 against specification of 95 0 to 107 8
INC-2020-0622,Relative humidity in manufacturing suite Suite A rose to 64.0% exceeding limit for 4.9 hours during batch C2458B processing.,Environmental Control Failure,Product recall and destruction,Introduce dual-person verification,Medium,relative humidity in manufacturing suite suite a rose to 64 0 exceeding limit for 4 9 hours during batch c2458b processing
INC-2020-0623,Positive pressure in filling suite Room 101 lost for 4.8 hours due to door seal failure. Batch A3936B aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Root cause investigation and CAPA report,Implement environmental monitoring trend analysis,Low,positive pressure in filling suite room 101 lost for 4 8 hours due to door seal failure batch a3936b aseptic filling was in progress at time of exceedance
INC-2020-0624,Stability protocol for batch C2987B not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,Document revision and re-issuance,Deploy continuous training programme,High,stability protocol for batch c2987b not updated following formulation change approval study conducted per obsolete protocol results may not be reportable
INC-2020-0625,Bioburden of 9 CFU per 100mL detected in WFI water used for batch B9735C. Alert limit is 3 CFU per 100mL. Batch quarantined.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Low,bioburden of 9 cfu per 100ml detected in wfi water used for batch b9735c alert limit is 3 cfu per 100ml batch quarantined
INC-2020-0626,Filling pump CP-308 showed variable fill volume on line 6. Fill weights ranged 486.8mg to 514.7mg against target for batch C2747A.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,High,filling pump cp 308 showed variable fill volume on line 6 fill weights ranged 486 8mg to 514 7mg against target for batch c2747a
INC-2020-0627,Incorrect expiry date printed on labels for batch E7078A. 2567 units incorrectly labelled before detection by QA inspection.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low,incorrect expiry date printed on labels for batch e7078a 2567 units incorrectly labelled before detection by qa inspection
INC-2020-0628,pH meter AC-682 gave inconsistent readings during in-process checks on batch E6141C. Calibration check failed with 0.25 pH unit drift from standard.,Equipment Failure,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium,ph meter ac 682 gave inconsistent readings during in process checks on batch e6141c calibration check failed with 0 25 ph unit drift from standard
INC-2020-0629,Microbial contamination found in Lactose Monohydrate lot LOT-40641 from PharmChem Ltd. Total aerobic count 15 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Batch quarantine and investigation,Upgrade software with validation,Low,microbial contamination found in lactose monohydrate lot lot 40641 from pharmchem ltd total aerobic count 15 cfu g exceeds nmt limit material quarantined
INC-2020-0630,In-process pH of batch E6691B drifted to 3.2 outside validated range of 4.3 to 7.8 during granulation step.,Process Deviation,Supplier qualification review,Deploy continuous training programme,Low,in process ph of batch e6691b drifted to 3 2 outside validated range of 4 3 to 7 8 during granulation step
INC-2020-0631,LIMS system Veeva Vault generated incorrect assay calculation for batch C9953B. Formula error found in calculation module. All results require manual verification.,Software / System Failure,Document revision and re-issuance,Add in-process checks at critical steps,Medium,lims system veeva vault generated incorrect assay calculation for batch c9953b formula error found in calculation module all results require manual verification
INC-2020-0632,Out-of-specification result for batch D3430B not reported within required timeframe. Reporting delay of 7.9 hours above the required notification limit.,Documentation Error,Operator retraining,Revise SOP with enhanced controls,Low,out of specification result for batch d3430b not reported within required timeframe reporting delay of 7 9 hours above the required notification limit
INC-2020-0633,Operator OP-6679 performed aseptic filling procedure without completing required refresher training. Retraining was overdue by 90 days at time of incident.,Training Gap,Root cause investigation and CAPA report,Deploy continuous training programme,Low,operator op 6679 performed aseptic filling procedure without completing required refresher training retraining was overdue by 90 days at time of incident
INC-2020-0634,Label printing software Veeva Vault generated incorrect format on labels for batch E3474B. Printed labels did not meet approved artwork specification.,Software / System Failure,Document revision and re-issuance,Add in-process checks at critical steps,High,label printing software veeva vault generated incorrect format on labels for batch e3474b printed labels did not meet approved artwork specification
INC-2020-0635,In-process pH of batch C3451A drifted to 4.2 outside validated range of 5.0 to 6.6 during granulation step.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,High,in process ph of batch c3451a drifted to 4 2 outside validated range of 5 0 to 6 6 during granulation step
INC-2020-0636,Autoclave CEN-608 failed to reach sterilisation temperature of 121 degrees C during cycle for batch C4104C. Maximum recorded temperature was 35.4 degrees C. Load quarantined pending investigation.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,High,autoclave cen 608 failed to reach sterilisation temperatureerature of 121 degrees c during cycle for batch c4104c maximum recorded temperatureerature was 35 4 degrees c load quarantined pending investigation
INC-2020-0637,Label printing software ChemStation generated incorrect format on labels for batch B5683A. Printed labels did not meet approved artwork specification.,Software / System Failure,Product recall and destruction,Deploy continuous training programme,Low,label printing software chemstation generated incorrect format on labels for batch b5683a printed labels did not meet approved artwork specification
INC-2020-0638,Moisture content of HPMC lot LOT-43975 from ExciPure Corp was 1.5% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Batch quarantine and investigation,Enhance supplier qualification process,Low,moisture content of hpmc lot lot 43975 from excipure corp was 1 5 exceeding nmt specification material quarantined and rejected supplier notified
INC-2020-0639,QA analyst OP-8134 released batch A7102C without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,High,qa analyst op 8134 released batch a7102c without reviewing all in process deviation records one unresolved deviation found post release during annual product review
INC-2020-0640,Chromatography data system SAP QM incorrectly integrated peak area for batch D9592B samples. Manual reintegration required for all affected samples.,Software / System Failure,Document revision and re-issuance,Upgrade software with validation,Medium,chromatography data system sap qm incorrectly integrated peak area for batch d9592b samples manual reintegration required for all affected samples
INC-2020-0641,Centrifuge CP-297 imbalance alarm triggered during processing of batch D3372A. Processing halted at 50% completion. Product integrity requires assessment.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium,centrifuge cp 297 imbalance alarm triggered during processing of batch d3372a processing halted at 50 completion product integrity requires assessment
INC-2020-0642,QA analyst OP-8077 released batch E1326A without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,High,qa analyst op 8077 released batch e1326a without reviewing all in process deviation records one unresolved deviation found post release during annual product review
INC-2020-0643,Operator OP-3800 used previous batch record template for batch A6820C documentation. Version mismatch identified during QA batch record review before release.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium,operator op 3800 used previous batch record temperaturelate for batch a6820c documentation version mismatch identified during qa batch record review before release
INC-2020-0644,Automated dispensing system LIMS Nexus dispensed incorrect quantity of Active Pharmaceutical Ingredient for batch A9284B. Software calibration fault confirmed. Batch quarantined pending investigation.,Software / System Failure,Document revision and re-issuance,Deploy continuous training programme,High,automated dispensing system lims nexus dispensed incorrect quantity of active pharmaceutical ingredient for batch a9284b software calibration fault confirmed batch quarantined pending investigation
INC-2020-0645,Autoclave HP-457 failed to reach sterilisation temperature of 121 degrees C during cycle for batch E9324C. Maximum recorded temperature was 28.9 degrees C. Load quarantined pending investigation.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Low,autoclave hp 457 failed to reach sterilisation temperatureerature of 121 degrees c during cycle for batch e9324c maximum recorded temperatureerature was 28 9 degrees c load quarantined pending investigation
INC-2020-0646,In-process assay for batch D7713A at coating step measured 109.9% against specification of 90.7% to 107.2%.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,Medium,in process assay for batch d7713a at coating step measured 109 9 against specification of 90 7 to 107 2
INC-2020-0647,Microbial contamination found in Active Pharmaceutical Ingredient lot LOT-45142 from PackRight Ltd. Total aerobic count 26 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Document revision and re-issuance,Upgrade software with validation,Medium,microbial contamination found in active pharmaceutical ingredient lot lot 45142 from packright ltd total aerobic count 26 cfu g exceeds nmt limit material quarantined
INC-2020-0648,Double dispensing of HPMC occurred for batch E9258B. Operator OP-8570 did not check previous dispensing record. Total weight 12.9% above specification.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High,double dispensing of hpmc occurred for batch e9258b operator op 8570 did not check previous dispensing record total weight 12 9 above specification
INC-2020-0649,Retention sample for batch A3687B not taken per SOP SOP-051 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,System configuration correction,Deploy continuous training programme,Low,retention sample for batch a3687b not taken per standard operating procedure standard operating procedure 051 requirements omission identified during annual product review and sample inventory check
INC-2020-0650,Gowning procedure not followed correctly by operator OP-2736 entering Grade A filling zone during batch E4882C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Supplier qualification review,Enhance supplier qualification process,High,gowning procedure not followed correctly by operator op 2736 entering grade a filling zone during batch e4882c filling operation non compliance confirmed by cctv review
INC-2020-0651,Centrifuge FP-542 imbalance alarm triggered during processing of batch C4138B. Processing halted at 50% completion. Product integrity requires assessment.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium,centrifuge fp 542 imbalance alarm triggered during processing of batch c4138b processing halted at 50 completion product integrity requires assessment
INC-2020-0652,Analyst OP-1632 used incorrect parameters during analysis of batch E7567B. Root cause identified as insufficient training on current software version.,Training Gap,Root cause investigation and CAPA report,Introduce dual-person verification,Medium,analyst op 1632 used incorrect parameters during analysis of batch e7567b root cause identified as insufficient training on current software version
INC-2020-0653,Water purification system HP-750 conductivity exceeded 1.8 uS/cm limit. Batch A6435A manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Medium,water purification system hp 750 conductivity exceeded 1 8 us cm limit batch a6435a manufactured with potentially non compliant purified water batch quarantined
INC-2020-0654,Chromatography data system LIMS Nexus incorrectly integrated peak area for batch A1054C samples. Manual reintegration required for all affected samples.,Software / System Failure,Document revision and re-issuance,Add in-process checks at critical steps,Low,chromatography data system lims nexus incorrectly integrated peak area for batch a1054c samples manual reintegration required for all affected samples
INC-2020-0655,Particle size distribution of Lactose Monohydrate lot LOT-99295 outside specification. D90 measured at 475.0 µm against NMT limit.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium,particle size distribution of lactose monohydrate lot lot 99295 outside specification d90 measured at 475 0 m against nmt limit
INC-2020-0656,Operator OP-8557 used previous batch record template for batch B5875B documentation. Version mismatch identified during QA batch record review before release.,Human Error,Operator retraining,Revise SOP with enhanced controls,High,operator op 8557 used previous batch record temperaturelate for batch b5875b documentation version mismatch identified during qa batch record review before release
INC-2020-0657,Environmental monitoring trend shows increasing CFU counts in Room A101 over 46 days. Action limit breached during batch E3985B manufacturing period.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,High,environmental monitoring trend shows increasing cfu counts in room a101 over 46 days action limit breached during batch e3985b manufacturing period
INC-2020-0658,Gowning procedure not followed correctly by operator OP-7250 entering Grade A filling zone during batch D4080B filling operation. Non-compliance confirmed by CCTV review.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium,gowning procedure not followed correctly by operator op 7250 entering grade a filling zone during batch d4080b filling operation non compliance confirmed by cctv review
INC-2020-0659,Non-viable particle count in Grade A zone exceeded specification during aseptic filling of batch E1475C. 18 particles per m3 recorded. Filling halted for investigation.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,High,non viable particle count in grade a zone exceeded specification during aseptic filling of batch e1475c 18 particles per m3 recorded filling halted for investigation
INC-2020-0660,Label printing software LIMS Nexus generated incorrect format on labels for batch C9032B. Printed labels did not meet approved artwork specification.,Software / System Failure,System configuration correction,Deploy continuous training programme,Medium,label printing software lims nexus generated incorrect format on labels for batch c9032b printed labels did not meet approved artwork specification
INC-2020-0661,Cleanroom Room C303 temperature exceeded upper limit for 1.4 hours during manufacture of batch D2342B. Cooling system fault identified as root cause.,Environmental Control Failure,Supplier qualification review,Implement environmental monitoring trend analysis,High,cleanroom room c303 temperatureerature exceeded upper limit for 1 4 hours during manufacture of batch d2342b cooling system fault identified as root cause
INC-2020-0662,Stability management software ChemStation failed to generate scheduled pull notification for batch A3734A samples. Stability timepoint missed by 85 days.,Software / System Failure,System configuration correction,Add in-process checks at critical steps,Medium,stability management software chemstation failed to generate scheduled pull notification for batch a3734a samples stability timepoint missed by 85 days
INC-2020-0663,pH of Sodium Starch Glycolate lot LOT-85454 from ChemSource Inc measured 3.7 outside specification of 4.7 to 6.1. Material quarantined.,Material / Supplier Defect,Batch quarantine and investigation,Increase monitoring frequency,Low,ph of sodium starch glycolate lot lot 85454 from chemsource inc measured 3 7 outside specification of 4 7 to 6 1 material quarantined
INC-2020-0664,QA analyst OP-9698 released batch D4384B without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Medium,qa analyst op 9698 released batch d4384b without reviewing all in process deviation records one unresolved deviation found post release during annual product review
INC-2020-0665,Incorrect cleaning agent applied to equipment TBL-981 following batch B2408C processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Process parameter adjustment,Deploy continuous training programme,Medium,incorrect cleaning agent applied to equipment tbl 981 following batch b2408c processing cleaning standard operating procedure not consulted prior to cleaning contamination risk assessed
INC-2020-0666,In-process pH of batch D7715A drifted to 8.7 outside validated range of 4.6 to 6.4 during granulation step.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium,in process ph of batch d7715a drifted to 8 7 outside validated range of 4 6 to 6 4 during granulation step
INC-2020-0667,Operator OP-5246 skipped in-process weight check at 50% completion during tablet compression of batch B9341A. Step omitted from batch record.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Medium,operator op 5246 skipped in process weight check at 50 completion during tablet compression of batch b9341a step omitted from batch record
INC-2020-0668,Raw material Sodium Starch Glycolate from supplier ChemSource Inc failed identity test on lot LOT-69464. COA confirmed identity but FTIR spectrum did not match approved reference standard.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,High,raw material sodium starch glycolate from supplier chemsource inc failed identity test on lot lot 69464 coa confirmed identity but ftir spectrum did not match approved reference standard
INC-2020-0669,HPLC instrument CEN-553 produced erratic baseline during analysis of batch D4367C samples. Column pressure exceeded 107 bar. Results invalidated and reanalysis required.,Equipment Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Medium,hplc instrument cen 553 produced erratic baseline during analysis of batch d4367c samples column pressure exceeded 107 bar results invalidated and reanalysis required
INC-2020-0670,Label printing software QMS Pro v3.2 generated incorrect format on labels for batch A3791A. Printed labels did not meet approved artwork specification.,Software / System Failure,Root cause investigation and CAPA report,Deploy continuous training programme,Medium,label printing software qms pro v3 2 generated incorrect format on labels for batch a3791a printed labels did not meet approved artwork specification
INC-2020-0671,In-process pH of batch B2233A drifted to 8.2 outside validated range of 4.6 to 6.4 during granulation step.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,Medium,in process ph of batch b2233a drifted to 8 2 outside validated range of 4 6 to 6 4 during granulation step
INC-2020-0672,Granule moisture content for batch D4524A measured at 3.9% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,High,granule moisture content for batch d4524a measured at 3 9 exceeding validated limit additional drying required before compression could proceed
INC-2020-0673,Yield for batch B1567C was 91.7% against expected yield of 98.4%. Unaccounted material loss triggers investigation.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium,yield for batch b1567c was 91 7 against expected yield of 98 4 unaccounted material loss triggers investigation
INC-2020-0674,Incorrect expiry date printed on labels for batch C5802A. 2599 units incorrectly labelled before detection by QA inspection.,Human Error,Root cause investigation and CAPA report,Increase monitoring frequency,Low,incorrect expiry date printed on labels for batch c5802a 2599 units incorrectly labelled before detection by qa inspection
INC-2020-0675,Fill volume for batch C6174A vials measured outside specification. 19 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,Medium,fill volume for batch c6174a vials measured outside specification 19 vials showed fill volume below lower specification limit on filling line
INC-2020-0676,Out-of-specification result for batch E7902A not reported within required timeframe. Reporting delay of 1.4 hours above the required notification limit.,Documentation Error,System configuration correction,Deploy continuous training programme,Low,out of specification result for batch e7902a not reported within required timeframe reporting delay of 1 4 hours above the required notification limit
INC-2020-0677,Differential pressure between Grade B and Grade C dropped below minimum specification in Room E205 during batch E4303B processing. Pressure alarm triggered.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Low,differential pressure between grade b and grade c dropped below minimum specification in room e205 during batch e4303b processing pressure alarm triggered
INC-2020-0678,SOP SOP-067 version v1.9 used during batch B1032A manufacture. Current approved version is v5.0. Superseded version not removed.,Documentation Error,Operator retraining,Revise SOP with enhanced controls,Medium,standard operating procedure standard operating procedure 067 version v1 9 used during batch b1032a manufacture current approved version is v5 0 superseded version not removed
INC-2020-0679,Yield for batch B4851A was 88.8% against expected yield of 99.0%. Unaccounted material loss triggers investigation.,Process Deviation,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium,yield for batch b4851a was 88 8 against expected yield of 99 0 unaccounted material loss triggers investigation
INC-2020-0680,Batch record for batch D2351A missing authorised signature at step 5 covering filling. Deviation raised during QA batch record review.,Documentation Error,System configuration correction,Introduce dual-person verification,High,batch record for batch d2351a missing authorised signature at step 5 covering filling deviation raised during qa batch record review
INC-2020-0681,Yield for batch D6269B was 89.6% against expected yield of 97.8%. Unaccounted material loss triggers investigation.,Process Deviation,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium,yield for batch d6269b was 89 6 against expected yield of 97 8 unaccounted material loss triggers investigation
INC-2020-0682,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 36 CFU. Action limit is 6 CFU.,Environmental Control Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Low,microbial contamination detected in grade a filling area environmental monitoring sample returned 36 cfu action limit is 6 cfu
INC-2020-0683,Operator OP-4969 initiated compression of batch D1385A without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium,operator op 4969 initiated compression of batch d1385a without completing blend uniformity check procedural step bypassed without authorisation
INC-2020-0684,Operator OP-6004 performed visual inspection procedure without completing required refresher training. Retraining was overdue by 86 days at time of incident.,Training Gap,Operator retraining,Deploy continuous training programme,Medium,operator op 6004 performed visual inspection procedure without completing required refresher training retraining was overdue by 86 days at time of incident
INC-2020-0685,Microbial contamination found in Microcrystalline Cellulose lot LOT-83181 from API Solutions. Total aerobic count 30 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,Low,microbial contamination found in microcrystalline cellulose lot lot 83181 from api solutions total aerobic count 30 cfu g exceeds nmt limit material quarantined
INC-2020-0686,Coating pan CEN-622 experienced a mechanical failure during batch E8240B coating process. Spray nozzle blocked causing uneven film coating. 19.5% of tablets outside uniformity specification.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,High,coating pan cen 622 experienced a mechanical failure during batch e8240b coating process spray nozzle blocked causing uneven film coating 19 5 of tablets outside uniformity specification
INC-2020-0687,Water purification system TBL-267 conductivity exceeded 2.3 uS/cm limit. Batch C8091B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Medium,water purification system tbl 267 conductivity exceeded 2 3 us cm limit batch c8091b manufactured with potentially non compliant purified water batch quarantined
INC-2020-0688,Operator OP-5254 added 21.4% excess of HPMC to batch D9795A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High,operator op 5254 added 21 4 excess of hpmc to batch d9795a during dispensing error not detected until in process check batch placed on hold for investigation
INC-2020-0689,Tablet weight variation for batch A4927B failed at 50% compression stage. RSD of 8.0% exceeds permitted limit of 4.4%.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,Medium,tablet weight variation for batch a4927b failed at 50 compression stage rsd of 8 0 exceeds permitted limit of 4 4
INC-2020-0690,Electronic batch record system ChemStation lost data entry for batch B6812C step 11 due to server timeout. Manual data recovery required.,Software / System Failure,Product recall and destruction,Upgrade software with validation,High,electronic batch record system chemstation lost data entry for batch b6812c step 11 due to server timeout manual data recovery required
INC-2020-0691,Print quality failure on label batch LOT-28035 from API Solutions. Barcode not readable by automated scanner. 20.4% of labels failed reading test.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,High,print quality failure on label batch lot 28035 from api solutions barcode not readable by automated scanner 20 4 of labels failed reading test
INC-2020-0692,Stability protocol for batch A8330B not updated following formulation change approval. Study conducted per obsolete protocol. Results may not be reportable.,Documentation Error,System configuration correction,Revise SOP with enhanced controls,Low,stability protocol for batch a8330b not updated following formulation change approval study conducted per obsolete protocol results may not be reportable
INC-2020-0693,Compressed air moisture content on filling line 2 exceeded 1.6 ppm limit. Batch D7265C potentially affected.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,High,compressed air moisture content on filling line 2 exceeded 1 6 ppm limit batch d7265c potentially affected
INC-2020-0694,Supervisor OP-4471 in QC Laboratory unfamiliar with deviation reporting timelines. Deviation for batch E5227A reported 42 days after required deadline.,Training Gap,Operator retraining,Revise SOP with enhanced controls,High,supervisor op 4471 in qc laboratory unfamiliar with deviation reporting timelines deviation for batch e5227a reported 42 days after required deadline
INC-2020-0695,Bioburden of 8 CFU per 100mL detected in WFI water used for batch A1253B. Alert limit is 5 CFU per 100mL. Batch quarantined.,Process Deviation,Process parameter adjustment,Upgrade software with validation,Low,bioburden of 8 cfu per 100ml detected in wfi water used for batch a1253b alert limit is 5 cfu per 100ml batch quarantined
INC-2020-0696,Operator OP-9072 initiated compression of batch A3241C without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,Medium,operator op 9072 initiated compression of batch a3241c without completing blend uniformity check procedural step bypassed without authorisation
INC-2020-0697,Microbial contamination found in Active Pharmaceutical Ingredient lot LOT-56937 from PharmChem Ltd. Total aerobic count 49 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Process parameter adjustment,Add in-process checks at critical steps,Medium,microbial contamination found in active pharmaceutical ingredient lot lot 56937 from pharmchem ltd total aerobic count 49 cfu g exceeds nmt limit material quarantined
INC-2020-0698,Incorrect expiry date printed on labels for batch A5943C. 2559 units incorrectly labelled before detection by QA inspection.,Human Error,System configuration correction,Enhance supplier qualification process,Medium,incorrect expiry date printed on labels for batch a5943c 2559 units incorrectly labelled before detection by qa inspection
INC-2020-0699,Coating pan HP-844 experienced a mechanical failure during batch A4383B coating process. Spray nozzle blocked causing uneven film coating. 20.1% of tablets outside uniformity specification.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Medium,coating pan hp 844 experienced a mechanical failure during batch a4383b coating process spray nozzle blocked causing uneven film coating 20 1 of tablets outside uniformity specification
INC-2020-0700,Dissolution apparatus HP-691 paddle speed not verified prior to testing batch E3372B. Speed found at 24 rpm instead of specified 87 rpm.,Equipment Failure,Process parameter adjustment,Install automated alarm and alert system,Low,dissolution apparatus hp 691 paddle speed not verified prior to testing batch e3372b speed found at 24 rpm instead of specified 87 rpm
INC-2020-0701,Operator OP-1977 skipped in-process weight check at 50% completion during tablet compression of batch D3133B. Step omitted from batch record.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,High,operator op 1977 skipped in process weight check at 50 completion during tablet compression of batch d3133b step omitted from batch record
INC-2020-0702,Autoclave HP-133 failed to reach sterilisation temperature of 121 degrees C during cycle for batch C7621C. Maximum recorded temperature was 32.6 degrees C. Load quarantined pending investigation.,Equipment Failure,Equipment repair and recalibration,Implement preventive maintenance schedule,High,autoclave hp 133 failed to reach sterilisation temperatureerature of 121 degrees c during cycle for batch c7621c maximum recorded temperatureerature was 32 6 degrees c load quarantined pending investigation
