incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2019-0206,Balance TBL-559 failed calibration check before dispensing operations for batch C6633A. Drift of 0.27 g recorded against tolerance of 0.01 g.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,High
INC-2019-0207,Compressed air moisture content on filling line 4 exceeded 1.8 ppm limit. Batch C1406B potentially affected.,Environmental Control Failure,Product recall and destruction,Introduce dual-person verification,High
INC-2019-0208,Wrong batch number A3353A entered into batch record for batch D2435A. Documentation error discovered during QA review prior to batch release.,Human Error,Document revision and re-issuance,Deploy continuous training programme,High
INC-2019-0209,Ambient temperature in dispensary Room E205 rose to 36.5 degrees C for 5.3 hours. Temperature-sensitive raw materials dispensed for batch B4264A during exceedance.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,Low
INC-2019-0210,Relative humidity in manufacturing suite Room 202 rose to 63.0% exceeding limit for 2.5 hours during batch C8799C processing.,Environmental Control Failure,Batch quarantine and investigation,Implement environmental monitoring trend analysis,Medium
INC-2019-0211,Retention sample for batch C5447C not taken per SOP SOP-075 requirements. Omission identified during annual product review and sample inventory check.,Documentation Error,Operator retraining,Increase monitoring frequency,Low
INC-2019-0212,Temperature logger software failed to generate alarm when cold room Room C303 exceeded limit. Alarm suppressed by software configuration fault. Exceedance undetected for 2.2 hours.,Software / System Failure,Document revision and re-issuance,Deploy continuous training programme,High
INC-2019-0213,Water purification system EQ-301 conductivity exceeded 1.8 uS/cm limit. Batch A8934B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Medium
INC-2019-0214,Balance AC-872 failed calibration check before dispensing operations for batch B4138B. Drift of 0.08 g recorded against tolerance of 0.01 g.,Equipment Failure,Deep cleaning and sanitisation,Implement preventive maintenance schedule,Medium
INC-2019-0215,Bioburden of 5 CFU per 100mL detected in WFI water used for batch D6111C. Alert limit is 6 CFU per 100mL. Batch quarantined.,Process Deviation,Batch quarantine and investigation,Upgrade software with validation,Medium
INC-2019-0216,Analyst OP-9379 used incorrect parameters during analysis of batch C8795C. Root cause identified as insufficient training on current software version.,Training Gap,Operator retraining,Increase monitoring frequency,High
INC-2019-0217,Visual inspection of batch C3502B identified 12 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,Medium
INC-2019-0218,Print quality failure on label batch LOT-17305 from API Solutions. Barcode not readable by automated scanner. 8.2% of labels failed reading test.,Material / Supplier Defect,Document revision and re-issuance,Upgrade software with validation,Medium
INC-2019-0219,Gowning procedure not followed correctly by operator OP-5995 entering Grade A filling zone during batch C2391C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Operator retraining,Deploy continuous training programme,Medium
INC-2019-0220,Double dispensing of HPMC occurred for batch E6563A. Operator OP-8143 did not check previous dispensing record. Total weight 11.8% above specification.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,Low
INC-2019-0221,Environmental monitoring trend shows increasing CFU counts in Room E205 over 77 days. Action limit breached during batch C9268B manufacturing period.,Environmental Control Failure,Batch quarantine and investigation,Install automated alarm and alert system,Medium
INC-2019-0222,API assay for lot LOT-36680 from API Solutions measured 92.2% against specification of 90.7% to 105.1%.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2019-0223,Centrifuge CP-421 imbalance alarm triggered during processing of batch D1326A. Processing halted at 25% completion. Product integrity requires assessment.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Medium
INC-2019-0224,QA analyst OP-1916 released batch C8200B without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Operator retraining,Enhance supplier qualification process,Low
INC-2019-0225,Relative humidity in manufacturing suite Suite B rose to 78.0% exceeding limit for 6.3 hours during batch C2999C processing.,Environmental Control Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,Medium
INC-2019-0226,Positive pressure in filling suite Suite A lost for 6.3 hours due to door seal failure. Batch C8426C aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High
INC-2019-0227,Incorrect expiry date printed on labels for batch D4677A. 4407 units incorrectly labelled before detection by QA inspection.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low
INC-2019-0228,Operator OP-3133 performed environmental sampling procedure without completing required refresher training. Retraining was overdue by 28 days at time of incident.,Training Gap,Document revision and re-issuance,Introduce dual-person verification,Medium
INC-2019-0229,In-process assay for batch D2404A at coating step measured 103.6% against specification of 91.5% to 107.0%.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,High
INC-2019-0230,Gowning procedure not followed correctly by operator OP-9690 entering Grade A filling zone during batch D3161A filling operation. Non-compliance confirmed by CCTV review.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Low
INC-2019-0231,SOP SOP-024 version v1.7 used during batch D1871A manufacture. Current approved version is v7.8. Superseded version not removed.,Documentation Error,System configuration correction,Introduce dual-person verification,Medium
INC-2019-0232,Fill volume for batch C4479C vials measured outside specification. 47 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2019-0233,Operator OP-7534 initiated compression of batch A2158C without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,Low
INC-2019-0234,In-process assay for batch B9021B at coating step measured 94.0% against specification of 94.9% to 108.4%.,Process Deviation,Process parameter adjustment,Revise SOP with enhanced controls,Medium
INC-2019-0235,In-process assay for batch D2548B at coating step measured 107.4% against specification of 93.0% to 109.4%.,Process Deviation,Document revision and re-issuance,Revise SOP with enhanced controls,High
INC-2019-0236,Blend uniformity failure detected for batch E8974B. RSD of 2.7% exceeds limit of 3.1%. Blending time was 39.0 minutes against validated 21 minutes.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2019-0237,Granule moisture content for batch C1129A measured at 2.3% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2019-0238,Raw material Povidone from supplier PackRight Ltd failed identity test on lot LOT-98225. COA confirmed identity but FTIR spectrum did not match approved reference standard.,Material / Supplier Defect,Document revision and re-issuance,Upgrade software with validation,Medium
INC-2019-0239,Training record for operator OP-2867 does not include current version of SOP SOP-080. Operator performed dispensing without current documented qualification.,Documentation Error,Operator retraining,Revise SOP with enhanced controls,Low
INC-2019-0240,Batch record for batch A1687C missing authorised signature at step 4 covering dispensing. Deviation raised during QA batch record review.,Documentation Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2019-0241,Gowning procedure not followed correctly by operator OP-9677 entering Grade A filling zone during batch D6908C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Equipment repair and recalibration,Deploy continuous training programme,Low
INC-2019-0242,Positive pressure in filling suite Suite C lost for 4.6 hours due to door seal failure. Batch E1947C aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High
INC-2019-0243,Tablet press CP-623 produced tablets with hardness below specification during compression of batch E5651A. Average hardness 4.3 kP against minimum of 7.5 kP.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium
INC-2019-0244,Primary packaging material lot LOT-97414 from PackRight Ltd failed leak test. 11.2% of units showed leakage during 100% integrity inspection.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,Medium
INC-2019-0245,Yield for batch D5320C was 86.1% against expected yield of 98.6%. Unaccounted material loss triggers investigation.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,High
INC-2019-0246,Water purification system AC-938 conductivity exceeded 2.4 uS/cm limit. Batch C5644A manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2019-0247,Positive pressure in filling suite Room 202 lost for 4.4 hours due to door seal failure. Batch D5544C aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Batch quarantine and investigation,Implement environmental monitoring trend analysis,Medium
INC-2019-0248,Granulator EQ-603 impeller speed dropped from target 293 rpm to 124 rpm during wet granulation of batch E6249B. Granule properties affected.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,High
INC-2019-0249,Operator OP-4874 in Manufacturing not trained on emergency response procedure. Training gap identified during unannounced mock drill exercise.,Training Gap,Operator retraining,Add in-process checks at critical steps,High
INC-2019-0250,Centrifuge AC-411 imbalance alarm triggered during processing of batch E2663A. Processing halted at 25% completion. Product integrity requires assessment.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High
INC-2019-0251,Equipment logbook for CP-407 shows no record of cleaning prior to batch C1745A. Previous product residue risk not assessed before manufacture commenced.,Documentation Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium
INC-2019-0252,Environmental monitoring software ChemStation failed to flag exceedance of action limit in room Room D104 during batch E8807A processing period.,Software / System Failure,Product recall and destruction,Add in-process checks at critical steps,High
INC-2019-0253,Mixing time for batch E6864B reduced to 14.8 minutes due to equipment issue. Validated minimum mixing time is 42 minutes. Blend uniformity testing initiated.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2019-0254,Microbial contamination found in Sodium Starch Glycolate lot LOT-44029 from ExciPure Corp. Total aerobic count 17 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Root cause investigation and CAPA report,Upgrade software with validation,Medium
INC-2019-0255,Visual inspection of batch E1712C identified 38 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,High
INC-2019-0256,Gowning procedure not followed correctly by operator OP-3045 entering Grade A filling zone during batch A8184A filling operation. Non-compliance confirmed by CCTV review.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2019-0257,Relative humidity in manufacturing suite Room 202 rose to 74.0% exceeding limit for 4.9 hours during batch D7290B processing.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,Medium
INC-2019-0258,Operator OP-8692 performed dispensing procedure without completing required refresher training. Retraining was overdue by 80 days at time of incident.,Training Gap,Operator retraining,Add in-process checks at critical steps,Medium
INC-2019-0259,Environmental monitoring trend shows increasing CFU counts in Room E205 over 47 days. Action limit breached during batch B2120B manufacturing period.,Environmental Control Failure,Product recall and destruction,Implement preventive maintenance schedule,High
INC-2019-0260,Filling pump FP-550 showed variable fill volume on line 6. Fill weights ranged 481.7mg to 518.5mg against target for batch A2887A.,Equipment Failure,Process parameter adjustment,Install automated alarm and alert system,High
INC-2019-0261,Operator OP-3366 followed previous gowning procedure for Grade A entry. Updated SOP SOP-017 training not completed prior to cleanroom entry.,Training Gap,System configuration correction,Deploy continuous training programme,Low
INC-2019-0262,Coating pan CEN-314 experienced a mechanical failure during batch C3071C coating process. Spray nozzle blocked causing uneven film coating. 14.7% of tablets outside uniformity specification.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,High
INC-2019-0263,Gowning procedure not followed correctly by operator OP-2388 entering Grade A filling zone during batch D3575B filling operation. Non-compliance confirmed by CCTV review.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2019-0264,Operator OP-5528 initiated compression of batch E9401C without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low
INC-2019-0265,Operator OP-9399 initiated compression of batch D7647C without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2019-0266,HVAC system failure in cleanroom Room D104 resulted in differential pressure drop below specification. Grade integrity compromised for 3.0 hours during batch B6006C manufacture.,Environmental Control Failure,Root cause investigation and CAPA report,Implement environmental monitoring trend analysis,Medium
INC-2019-0267,Wrong batch number A8449A entered into batch record for batch B2709C. Documentation error discovered during QA review prior to batch release.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,High
INC-2019-0268,Electronic batch record system ChemStation lost data entry for batch B3128A step 15 due to server timeout. Manual data recovery required.,Software / System Failure,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2019-0269,In-process assay for batch D1640C at coating step measured 106.8% against specification of 94.5% to 109.5%.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,High
INC-2019-0270,Particle size distribution of Microcrystalline Cellulose lot LOT-70577 outside specification. D90 measured at 298.0 µm against NMT limit.,Material / Supplier Defect,Document revision and re-issuance,Revise SOP with enhanced controls,High
INC-2019-0271,Two raw material lots LOT-11469 and LOT-78534 mixed in dispensary during weighing for batch A9759C. Mix-up detected by second operator during verification check.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium
INC-2019-0272,LIMS system LIMS Nexus generated incorrect assay calculation for batch C4908A. Formula error found in calculation module. All results require manual verification.,Software / System Failure,System configuration correction,Upgrade software with validation,Medium
INC-2019-0273,Cleanroom Room D104 temperature exceeded upper limit for 1.8 hours during manufacture of batch E7472B. Cooling system fault identified as root cause.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,High
INC-2019-0274,Filling pump CEN-169 showed variable fill volume on line 6. Fill weights ranged 489.9mg to 512.3mg against target for batch B6209C.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,High
INC-2019-0275,Operator OP-1648 followed previous gowning procedure for Grade A entry. Updated SOP SOP-067 training not completed prior to cleanroom entry.,Training Gap,System configuration correction,Introduce dual-person verification,Low
INC-2019-0276,Operator OP-4153 skipped in-process weight check at 75% completion during tablet compression of batch D1099A. Step omitted from batch record.,Human Error,Document revision and re-issuance,Introduce dual-person verification,Medium
INC-2019-0277,Two raw material lots LOT-67852 and LOT-88011 mixed in dispensary during weighing for batch D2310B. Mix-up detected by second operator during verification check.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Medium
INC-2019-0278,Bioburden of 17 CFU per 100mL detected in WFI water used for batch C3238C. Alert limit is 6 CFU per 100mL. Batch quarantined.,Process Deviation,Deep cleaning and sanitisation,Increase monitoring frequency,Low
INC-2019-0279,Dissolution profile for batch A3422B failed at 120 minute timepoint. 19.7% dissolved against specification of NLT 84.0%.,Process Deviation,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2019-0280,Print quality failure on label batch LOT-64767 from ExciPure Corp. Barcode not readable by automated scanner. 16.3% of labels failed reading test.,Material / Supplier Defect,Batch quarantine and investigation,Add in-process checks at critical steps,Medium
INC-2019-0281,Tablet weight variation for batch C2052B failed at 25% compression stage. RSD of 2.4% exceeds permitted limit of 8.3%.,Process Deviation,Process parameter adjustment,Upgrade software with validation,Medium
INC-2019-0282,Autoclave CP-989 failed to reach sterilisation temperature of 121 degrees C during cycle for batch D3275A. Maximum recorded temperature was 27.1 degrees C. Load quarantined pending investigation.,Equipment Failure,Root cause investigation and CAPA report,Implement preventive maintenance schedule,High
INC-2019-0283,Operator OP-9158 set drying temperature to 78.9 degrees C instead of specified 29.6 degrees C for batch B9520C. Deviation noted after 2.2 hours of processing.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,Low
INC-2019-0284,Supervisor OP-6452 in Warehouse unfamiliar with deviation reporting timelines. Deviation for batch A3224C reported 87 days after required deadline.,Training Gap,Root cause investigation and CAPA report,Introduce dual-person verification,Low
INC-2019-0285,Balance HP-862 failed calibration check before dispensing operations for batch A6574C. Drift of 0.18 g recorded against tolerance of 0.01 g.,Equipment Failure,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2019-0286,Positive pressure in filling suite Room 101 lost for 5.9 hours due to door seal failure. Batch B1562C aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Low
INC-2019-0287,Certificate of Analysis for Sodium Starch Glycolate lot LOT-35571 from PackRight Ltd referenced incorrect test method version. GMP documentation non-compliance identified during incoming review.,Material / Supplier Defect,Batch quarantine and investigation,Upgrade software with validation,High
INC-2019-0288,Bulk density of Microcrystalline Cellulose lot LOT-72111 from ChemSource Inc outside specification. Compressibility index of 22.3% exceeds limit affecting downstream processing.,Material / Supplier Defect,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2019-0289,Dissolution profile for batch A2966A failed at 90 minute timepoint. 9.5% dissolved against specification of NLT 77.0%.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,Medium
INC-2019-0290,Operator OP-6149 added 17.7% excess of Magnesium Stearate to batch E3948A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Document revision and re-issuance,Deploy continuous training programme,Low
INC-2019-0291,Gowning procedure not followed correctly by operator OP-2622 entering Grade A filling zone during batch C9818C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,Medium
INC-2019-0292,Microbial contamination found in Povidone lot LOT-94616 from ChemSource Inc. Total aerobic count 28 CFU/g exceeds NMT limit. Material quarantined.,Material / Supplier Defect,Document revision and re-issuance,Upgrade software with validation,Medium
INC-2019-0293,Batch C1161A release certificate issued with incorrect product strength. Error identified post-issue. Certificate recalled and reissued with correction.,Documentation Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2019-0294,Operator OP-1155 performed tablet compression procedure without completing required refresher training. Retraining was overdue by 53 days at time of incident.,Training Gap,Document revision and re-issuance,Introduce dual-person verification,Low
INC-2019-0295,Fill volume for batch D6799B vials measured outside specification. 35 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Process parameter adjustment,Increase monitoring frequency,High
INC-2019-0296,Particle size distribution of Lactose Monohydrate lot LOT-98410 outside specification. D90 measured at 301.0 µm against NMT limit.,Material / Supplier Defect,Supplier qualification review,Enhance supplier qualification process,High
INC-2019-0297,Operator OP-8999 skipped in-process weight check at 50% completion during tablet compression of batch C9446A. Step omitted from batch record.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2019-0298,Operator OP-3984 set drying temperature to 58.5 degrees C instead of specified 34.9 degrees C for batch D7132B. Deviation noted after 1.4 hours of processing.,Human Error,Deep cleaning and sanitisation,Enhance supplier qualification process,Low
INC-2019-0299,Analyst OP-3087 used incorrect parameters during analysis of batch A7899B. Root cause identified as insufficient training on current software version.,Training Gap,Supplier qualification review,Introduce dual-person verification,Medium
INC-2019-0300,HVAC system failure in cleanroom Room E205 resulted in differential pressure drop below specification. Grade integrity compromised for 4.1 hours during batch A8116B manufacture.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,High
INC-2019-0301,Tablet press EQ-489 produced tablets with hardness below specification during compression of batch A4270A. Average hardness 3.8 kP against minimum of 6.8 kP.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium
INC-2019-0302,Granule moisture content for batch C2827A measured at 5.8% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium
INC-2019-0303,Moisture content of Active Pharmaceutical Ingredient lot LOT-18874 from API Solutions was 1.8% exceeding NMT specification. Material quarantined and rejected. Supplier notified.,Material / Supplier Defect,Root cause investigation and CAPA report,Add in-process checks at critical steps,Medium
INC-2019-0304,Two raw material lots LOT-69695 and LOT-41223 mixed in dispensary during weighing for batch B1058A. Mix-up detected by second operator during verification check.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low
INC-2019-0305,Environmental monitoring log for cleanroom Room B202 not completed for 33 days. Missing entries overlap with batch E2903A manufacture period.,Documentation Error,Operator retraining,Deploy continuous training programme,Low
INC-2019-0306,Compressed air moisture content on filling line 5 exceeded 2.2 ppm limit. Batch E4377B potentially affected.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Medium
INC-2019-0307,Tablet disintegration for batch D2642C exceeded 27.6 minutes at 30 minute timepoint. Specification limit is NMT 9 minutes.,Process Deviation,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium
INC-2019-0308,Microbial contamination detected in Grade B filling area. Environmental monitoring sample returned 15 CFU. Action limit is 7 CFU.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,Low
INC-2019-0309,Incorrect expiry date printed on labels for batch D3461C. 3759 units incorrectly labelled before detection by QA inspection.,Human Error,Operator retraining,Deploy continuous training programme,Low
INC-2019-0310,Autoclave TBL-426 failed to reach sterilisation temperature of 121 degrees C during cycle for batch B3979B. Maximum recorded temperature was 37.9 degrees C. Load quarantined pending investigation.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,High
INC-2019-0311,In-process pH of batch B2804A drifted to 3.2 outside validated range of 5.0 to 6.7 during granulation step.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,Low
INC-2019-0312,Wrong batch number D5227C entered into batch record for batch D6526B. Documentation error discovered during QA review prior to batch release.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,Medium
INC-2019-0313,Two raw material lots LOT-94133 and LOT-89061 mixed in dispensary during weighing for batch E2264C. Mix-up detected by second operator during verification check.,Human Error,Operator retraining,Enhance supplier qualification process,High
INC-2019-0314,Operator OP-1735 initiated compression of batch B1530A without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Medium
INC-2019-0315,HVAC system failure in cleanroom Room B202 resulted in differential pressure drop below specification. Grade integrity compromised for 3.1 hours during batch A5753A manufacture.,Environmental Control Failure,Deep cleaning and sanitisation,Increase monitoring frequency,High
INC-2019-0316,Water purification system CP-610 conductivity exceeded 1.9 uS/cm limit. Batch A3336B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,Low
INC-2019-0317,Freeze dryer TBL-482 experienced shelf temperature excursion during primary drying of batch C9396C. Shelf temperature rose 5.6 degrees C above the validated specification limit.,Equipment Failure,Root cause investigation and CAPA report,Implement preventive maintenance schedule,Medium
INC-2019-0318,Audit trail in QMS software QMS Pro v3.2 failed to record change made to batch D8096A record. 21 CFR Part 11 compliance gap identified during internal audit.,Software / System Failure,Product recall and destruction,Add in-process checks at critical steps,Medium
INC-2019-0319,Filling pump HP-155 showed variable fill volume on line 1. Fill weights ranged 483.0mg to 517.1mg against target for batch C8046B.,Equipment Failure,Root cause investigation and CAPA report,Add in-process checks at critical steps,High
INC-2019-0320,QA analyst OP-1162 released batch D6811C without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Operator retraining,Deploy continuous training programme,Medium
INC-2019-0321,Compressed air moisture content on filling line 6 exceeded 2.2 ppm limit. Batch E2596A potentially affected.,Environmental Control Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2019-0322,Bioburden of 38 CFU per 100mL detected in WFI water used for batch E3664C. Alert limit is 1 CFU per 100mL. Batch quarantined.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2019-0323,Tablet weight variation for batch D1124B failed at 50% compression stage. RSD of 2.0% exceeds permitted limit of 9.4%.,Process Deviation,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium
INC-2019-0324,Fill volume for batch A3069C vials measured outside specification. 16 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,Low
INC-2019-0325,ERP system QMS Pro v3.2 generated duplicate batch number for two separate manufacturing orders. Traceability risk identified during batch reconciliation process.,Software / System Failure,Product recall and destruction,Deploy continuous training programme,Low
INC-2019-0326,Incorrect cleaning agent applied to equipment CEN-927 following batch D7148B processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2019-0327,Chromatography data system ChemStation incorrectly integrated peak area for batch A6366A samples. Manual reintegration required for all affected samples.,Software / System Failure,Root cause investigation and CAPA report,Deploy continuous training programme,Low
INC-2019-0328,Heavy metals test for Active Pharmaceutical Ingredient lot LOT-73941 from API Solutions failed specification. 3.28 ppm detected against permitted limit.,Material / Supplier Defect,Process parameter adjustment,Upgrade software with validation,Low
INC-2019-0329,Granule moisture content for batch B6861A measured at 1.5% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Batch quarantine and investigation,Add in-process checks at critical steps,High
INC-2019-0330,Water purification system BLD-342 conductivity exceeded 1.6 uS/cm limit. Batch B6355C manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Equipment repair and recalibration,Add in-process checks at critical steps,Medium
INC-2019-0331,In-process pH of batch A7126C drifted to 4.6 outside validated range of 4.8 to 6.2 during granulation step.,Process Deviation,Root cause investigation and CAPA report,Add in-process checks at critical steps,Low
INC-2019-0332,Gowning procedure not followed correctly by operator OP-8908 entering Grade A filling zone during batch D9029B filling operation. Non-compliance confirmed by CCTV review.,Human Error,Operator retraining,Introduce dual-person verification,High
INC-2019-0333,Dissolution profile for batch C6108C failed at 15 minute timepoint. 11.9% dissolved against specification of NLT 72.0%.,Process Deviation,Process parameter adjustment,Upgrade software with validation,Low
INC-2019-0334,Bioburden of 16 CFU per 100mL detected in WFI water used for batch E6467A. Alert limit is 2 CFU per 100mL. Batch quarantined.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,Medium
INC-2019-0335,Two raw material lots LOT-91542 and LOT-97298 mixed in dispensary during weighing for batch C5718C. Mix-up detected by second operator during verification check.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,Low
INC-2019-0336,Non-viable particle count in Grade A zone exceeded specification during aseptic filling of batch D5055B. 23 particles per m3 recorded. Filling halted for investigation.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,Medium
INC-2019-0337,Positive pressure in filling suite Suite C lost for 7.2 hours due to door seal failure. Batch B7722A aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Deep cleaning and sanitisation,Implement environmental monitoring trend analysis,High
INC-2019-0338,Temperature excursion in cold storage Room B202 for 7.8 hours. Temperature reached 25.7 degrees C above upper limit. Batch D8455C products affected.,Environmental Control Failure,Batch quarantine and investigation,Install automated alarm and alert system,High
INC-2019-0339,Mixing time for batch E3540A reduced to 33.4 minutes due to equipment issue. Validated minimum mixing time is 60 minutes. Blend uniformity testing initiated.,Process Deviation,Root cause investigation and CAPA report,Increase monitoring frequency,Low
INC-2019-0340,Dissolution profile for batch B9627B failed at 30 minute timepoint. 20.4% dissolved against specification of NLT 75.0%.,Process Deviation,Process parameter adjustment,Upgrade software with validation,High
INC-2019-0341,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 20 CFU. Action limit is 5 CFU.,Environmental Control Failure,Operator retraining,Install automated alarm and alert system,Medium
INC-2019-0342,Mixing time for batch B4849C reduced to 28.0 minutes due to equipment issue. Validated minimum mixing time is 30 minutes. Blend uniformity testing initiated.,Process Deviation,Batch quarantine and investigation,Revise SOP with enhanced controls,Medium
INC-2019-0343,Microbial contamination detected in Grade B filling area. Environmental monitoring sample returned 33 CFU. Action limit is 2 CFU.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,Low
INC-2019-0344,Operator OP-6309 initiated compression of batch E9608B without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Operator retraining,Enhance supplier qualification process,Low
INC-2019-0345,New employee OP-1613 in Sterile Fill department performed tablet compression without completing qualification assessment for SOP SOP-096. Onboarding training gap identified.,Training Gap,Root cause investigation and CAPA report,Introduce dual-person verification,Low
INC-2019-0346,Wrong batch number A4334A entered into batch record for batch C9046B. Documentation error discovered during QA review prior to batch release.,Human Error,Root cause investigation and CAPA report,Enhance supplier qualification process,Medium
INC-2019-0347,Bioburden of 19 CFU per 100mL detected in WFI water used for batch C6840C. Alert limit is 2 CFU per 100mL. Batch quarantined.,Process Deviation,Process parameter adjustment,Add in-process checks at critical steps,Medium
